Station,Type,line,Longitude,Latitude,Aliases
Aadorf,train station,S12|S35|SN21,8.9035802,47.4877908,
"Aadorf, Bahnhof",bus station,834,8.9027,47.4884,aadorfbahnhof
"Aadorf, Matthofstrasse",bus station,834,8.9046,47.4852,aadorf matthofstr|aadorfmatthofstrasse|matthofstr|matthofstrasse
"Aadorf, Morgental",bus station,834,8.8962,47.494,aadorfmorgental
"Aadorf, Zentrum",bus station,834,8.8994,47.4911,aadorfzentrum
Aathal,train station,S|S14|SN5,8.7661692,47.3355726,
"Aathal, Bahnhof",station,,8.7664743,47.3356051,aathalbahnhof
"Adetswil, Frowiesstrasse",bus station,850|851|N87,8.8440315,47.3385908,adetswil frowiesstr|adetswilfrowiesstrasse|frowiesstr|frowiesstrasse
"Adetswil, Sunneberg",bus station,850|851|N87,8.8418636,47.3386802,adetswilsunneberg|sunneberg
Adlikon b. Andelfingen,bus station,612|N60|N65,8.6899,47.583,adlikonbandelfingen
"Adlikon b. R., Dorf",bus station,453|456|485|N45,8.4664534,47.4480636,adlikonbrdorf
"Adlikon b. R., Leematten",bus station,451,8.4669521,47.4526015,adlikonbrleematten|leematten
"Adlikon b. R., Pächterried",bus station,485|N45,8.4700447,47.4458998,adlikonbrpachterried|pachterried
"Adlikon b. R., Sonnhalde",bus station,453|485|N45,8.4622067,47.4520229,adlikonbrsonnhalde|sonnhalde
"Adlikon b. R., Sonnhalde West",bus station,453|485|N45,8.4589159,47.4532933,adlikonbrsonnhaldewest|sonnhalde west|sonnhaldewest
"Adlikon b. R., Ziegelhütte",bus station,456,8.4660477,47.4524656,adlikonbrziegelhutte
Adlikon bei Andelfingen,bus station,612|N60|N65,8.6899051,47.5829906,adlikonbeiandelfingen
Adliswil,train station,S4|SN4,8.5240718,47.3123319,
Adliswil (Luftseilbahnstation),train station,26,8.5200548,47.3131702,adliswilluftseilbahnstation
"Adliswil, Ahornweg",bus station,162|185|N18,8.5342196,47.3189285,adliswilahornweg
"Adliswil, Badstrasse",bus station,185|N18,8.533806,47.3135982,adliswil badstr|adliswilbadstrasse|badstr|badstrasse
"Adliswil, Bahnhof",bus station,151|152|153|156|184|185|N15|N18,8.5243601,47.3115466,adliswilbahnhof
"Adliswil, Baldernstrasse",bus station,151|N15,8.5155924,47.320786,adliswil baldernstr|adliswilbaldernstrasse|baldernstr|baldernstrasse
"Adliswil, Baumgartenweg",station,,8.5256166,47.3096008,adliswilbaumgartenweg|baumgartenweg
"Adliswil, Bodenacker",bus station,151|N15,8.5177394,47.3164032,adliswilbodenacker|bodenacker
"Adliswil, Büchel",bus station,153|N18,8.5220981,47.3011064,adliswilbuchel|buchel
"Adliswil, Dietlimoos",bus station,185|N18,8.5322049,47.3225997,adliswildietlimoos|dietlimoos
"Adliswil, Feldblumenstrasse",bus station,151|N15,8.5190791,47.3146276,adliswil feldblumenstr|adliswilfeldblumenstrasse
"Adliswil, Friedhof",bus station,152,8.530081,47.3067251,adliswilfriedhof
"Adliswil, Grundstrasse",bus station,185|N18,8.5300496,47.3129502,adliswil grundstr|adliswilgrundstrasse
"Adliswil, Grüt",bus station,184|N18,8.5289738,47.3224414,adliswilgrut
"Adliswil, Hofackerstrasse",bus station,162|185|N18,8.5357961,47.3151805,adliswil hofackerstr|adliswilhofackerstrasse|hofackerstr|hofackerstrasse
"Adliswil, Krone",bus station,184|N18,8.527645,47.3130808,adliswilkrone
"Adliswil, Landolt-Junker-Str.",bus station,153|N18,8.5222625,47.3033446,adliswillandoltjunkerstr|landolt junker str|landoltjunkerstr
"Adliswil, Moos",bus station,185,8.5311324,47.3251375,adliswilmoos
"Adliswil, Poststrasse",bus station,151|N15,8.5252006,47.3132028,adliswil poststr|adliswilpoststrasse|poststr|poststrasse
"Adliswil, Rifertstrasse",bus station,152|156|N15,8.5318266,47.3099469,adliswil rifertstr|adliswilrifertstrasse|rifertstr|rifertstrasse
"Adliswil, Rütistrasse/Wacht",bus station,152,8.532203,47.3070199,adliswil rutistr wacht|adliswilrutistrassewacht|rutistr wacht|rutistrasse wacht|rutistrassewacht
